County,biden_pct,biden_total,trump_pct,trump_total,jorg_pct,jorg_total,other_pct,other_total,votes
Todd,24.79%,3286,73.57%,9753,0.64%,85,1.00%,133,13257
Traverse,35.46%,661,62.88%,1172,0.64%,12,1.02%,19,1864
Wabasha,35.78%,4696,62.13%,8153,1.01%,133,1.07%,141,13123
Wadena,26.35%,2023,71.90%,5520,0.70%,54,1.04%,80,7677
Waseca,33.65%,3496,63.76%,6624,1.18%,123,1.40%,146,10389
Washington,53.46%,89165,44.23%,73764,1.14%,1895,1.18%,1962,166786
Watonwan,38.20%,1987,59.66%,3103,0.54%,28,1.60%,83,5201
Wilkin,29.91%,1026,67.87%,2328,1.20%,41,1.02%,35,3430
Winona,49.07%,13333,48.68%,13227,1.00%,272,1.25%,341,27173
Wright,34.49%,28430,63.05%,51973,1.20%,992,1.25%,1031,82426
Yellow Medicine,30.54%,1688,67.55%,3734,0.81%,45,1.10%,61,5528
